Comparison,Feature,Mean_Left,Mean_Right,StdDiff,AbsStdDiff
TP vs FN,score_peak,0.9162750488592728,0.1485148497347037,5.465089323227287,5.465089323227287
TP vs FN,score_mean,0.7525817427166999,0.09655815395369291,4.181988745751156,4.181988745751156
TP vs FN,duration_s,78.34615384615384,18.0,1.7186954663899137,1.7186954663899137
TP vs FN,delta_power_mean_mean,1352604668.440553,406547850.20958436,1.5380542024742792,1.5380542024742792
TP vs FN,epoch_ptp_max_mean,1162.6566938621193,725.9169173902451,1.1287618702217022,1.1287618702217022
TP vs FN,epoch_ptp_median_mean,616.2785756577122,371.43849016858695,1.0974754407261476,1.0974754407261476
TP vs FN,line_length_median_mean,19.081886570357376,10.109172217989176,1.0400214573341837,1.0400214573341837
TP vs FN,theta_power_mean_mean,782365188.3366026,209431128.71718562,0.9146513738869626,0.9146513738869626
TP vs FN,beta_power_mean_mean,306018651.36717254,59984943.17503936,0.9081940583042526,0.9081940583042526
TP vs FN,high_amp_channel_count_mean,19.217663071307427,15.155844155844157,0.8916004638356922,0.8916004638356922
TP vs FN,gamma_power_mean_mean,87865006.59217064,20326591.161468633,0.8619527915379608,0.8619527915379608
TP vs FN,alpha_power_mean_mean,323330327.8827293,64565847.59274955,0.8353648947061588,0.8353648947061588
TP vs FN,dominant_band_fraction_mean,0.6047089676323454,0.5385098872425169,0.6982190222587883,0.6982190222587883
TP vs FN,broadband_lowfreq_ratio_mean,0.30593034844508266,0.11444866653816861,0.66499891765878,0.66499891765878
TP vs FN,synchrony_mean_mean,0.3656860259642203,0.38540623788693706,-0.24036453853651543,0.24036453853651543
TP vs FP,duration_s,78.34615384615384,19.545064377682404,1.4318332775529574,1.4318332775529574
TP vs FP,score_peak,0.9162750488592728,0.5884488643511198,1.3883865505723292,1.3883865505723292
TP vs FP,score_mean,0.7525817427166999,0.5464740476647152,0.8440205310105704,0.8440205310105704
TP vs FP,line_length_median_mean,19.081886570357376,43.27598527764219,-0.6658725855650597,0.6658725855650597
TP vs FP,gamma_power_mean_mean,87865006.59217064,246186730.53440976,-0.6433638334567772,0.6433638334567772
TP vs FP,broadband_lowfreq_ratio_mean,0.30593034844508266,11.024888019395599,-0.5852210585546838,0.5852210585546838
TP vs FP,beta_power_mean_mean,306018651.36717254,736156815.0851237,-0.49443525639208613,0.49443525639208613
TP vs FP,epoch_ptp_max_mean,1162.6566938621193,1378.0189674746848,-0.34136254662520593,0.34136254662520593
TP vs FP,epoch_ptp_median_mean,616.2785756577122,759.5045777786125,-0.32687626034120965,0.32687626034120965
TP vs FP,dominant_band_fraction_mean,0.6047089676323454,0.5702416066703491,0.28929487685505245,0.28929487685505245
TP vs FP,high_amp_channel_count_mean,19.217663071307427,20.01094514263589,-0.26136732034890603,0.26136732034890603
TP vs FP,alpha_power_mean_mean,323330327.8827293,445968392.5855107,-0.147850731445723,0.147850731445723
TP vs FP,theta_power_mean_mean,782365188.3366026,670641446.4215766,0.08475442127421158,0.08475442127421158
TP vs FP,synchrony_mean_mean,0.3656860259642203,0.3775412863003639,-0.06974613438963363,0.06974613438963363
TP vs FP,delta_power_mean_mean,1352604668.440553,1429759753.8669517,-0.0353295062606508,0.0353295062606508
