Variant,MacroSensitivity,Median_Subject_FAR_per_Hour,MacroMeanDelay_s,MacroSensitivityDelta,Median_Subject_FAR_Delta,chb08_far_delta,chb04_delay_delta,new_zero_sensitivity_count,new_zero_sensitivity_patients,passes_zero_guard,passes_macro_sensitivity_guard,passes_macro_far_guard,passes_chb08_far_guard,passes_chb04_delay_guard,passes_global_guard,UsesProxyFeatures,ProxyRecipe,ProxyFeatureCount,ThresholdPolicy,MinDurationEpochs
proxy_hybrid_plus_count_rf,0.9666666666666666,0.2809518484430014,11.074761904761903,-0.011111111111111294,-0.10979575874512193,-0.4998472688900614,17.5,0,,True,True,True,True,False,False,True,hybrid_plus_amp_count,4,far_first,3
proxy_hybrid_plus_count_delayfirst_rf,0.9666666666666666,1.1897084457338138,5.868571428571428,-0.011111111111111294,0.7989608385456906,2.5992057982283194,-3.0,0,,True,True,False,False,True,False,True,hybrid_plus_amp_count,4,delay_first,3
proxy_hybrid_plus_count_delayfirst_d2_rf,0.9777777777777779,1.2423377163798381,6.032857142857142,0.0,0.8515901091917149,3.298991974674405,-3.0,0,,True,True,False,False,True,False,True,hybrid_plus_amp_count,4,delay_first,2
