EventType,Feature,N,Mean,Median,IQR
FN,delta_power_mean_mean,2,406547850.20958436,406547850.20958436,57440236.58131689
FN,theta_power_mean_mean,2,209431128.71718562,209431128.71718562,103439673.97909617
FN,alpha_power_mean_mean,2,64565847.59274955,64565847.59274955,29697889.395351864
FN,beta_power_mean_mean,2,59984943.17503936,59984943.17503936,39143840.40714102
FN,gamma_power_mean_mean,2,20326591.161468633,20326591.161468633,17098128.856314324
FN,synchrony_mean_mean,2,0.38540623788693706,0.38540623788693706,0.03602384521050167
FN,epoch_ptp_median_mean,2,371.43849016858695,371.43849016858695,107.32424507340932
FN,epoch_ptp_max_mean,2,725.9169173902451,725.9169173902451,224.15493087977075
FN,high_amp_channel_count_mean,2,15.155844155844157,15.155844155844157,5.7012987012987
FN,line_length_median_mean,2,10.109172217989176,10.109172217989176,4.176235843823548
FN,broadband_lowfreq_ratio_mean,2,0.11444866653816861,0.11444866653816861,0.06726075614774804
FN,score_mean,2,0.09655815395369291,0.09655815395369291,0.08147645927114883
FN,score_peak,2,0.1485148497347037,0.1485148497347037,0.10054863589870879
FN,dominant_band_fraction_mean,2,0.5385098872425169,0.5385098872425169,0.06975904675533162
FN,duration_s,2,18.0,18.0,4.0
FP,delta_power_mean_mean,233,1429759753.8669517,624426859.1826056,842428137.0561382
FP,theta_power_mean_mean,233,670641446.4215766,254427655.03602234,181469103.39748815
FP,alpha_power_mean_mean,233,445968392.5855107,100401847.73252653,510641149.6825306
FP,beta_power_mean_mean,233,736156815.0851237,174552850.66248012,1654925208.859265
FP,gamma_power_mean_mean,233,246186730.53440976,102908404.6897074,470208121.8221561
FP,synchrony_mean_mean,233,0.3775412863003639,0.3999821444214274,0.35274197977172417
FP,epoch_ptp_median_mean,233,759.5045777786125,581.7246883788881,555.5386261382905
FP,epoch_ptp_max_mean,233,1378.0189674746848,1312.033918529035,512.8467217575071
FP,high_amp_channel_count_mean,233,20.01094514263589,21.0,2.166666666666668
FP,line_length_median_mean,233,43.27598527764219,16.636264603107257,62.77725565981133
FP,broadband_lowfreq_ratio_mean,233,11.024888019395599,0.20622541593600136,1.1979672613124233
FP,score_mean,233,0.5464740476647152,0.5525881648005848,0.5231319090161961
FP,score_peak,233,0.5884488643511198,0.5886353556455015,0.5152600377729849
FP,dominant_band_fraction_mean,233,0.5702416066703491,0.5526332218174628,0.14739172497049707
FP,duration_s,233,19.545064377682404,10.0,10.0
TP,delta_power_mean_mean,52,1352604668.440553,1151004242.8052025,1354102405.2625525
TP,theta_power_mean_mean,52,782365188.3366026,310175868.2302379,1159139177.1059499
TP,alpha_power_mean_mean,52,323330327.8827293,99786952.55235279,444752880.2579597
TP,beta_power_mean_mean,52,306018651.36717254,79078372.62392339,361440129.6023777
TP,gamma_power_mean_mean,52,87865006.59217064,35221476.97829827,108092995.0475854
TP,synchrony_mean_mean,52,0.3656860259642203,0.3641527112184362,0.13582663373173487
TP,epoch_ptp_median_mean,52,616.2785756577122,505.1231601069793,387.02161031403375
TP,epoch_ptp_max_mean,52,1162.6566938621193,965.3618090064963,856.4207519485276
TP,high_amp_channel_count_mean,52,19.217663071307427,20.239583333333336,3.177648578811368
TP,line_length_median_mean,52,19.081886570357376,13.866946450750042,14.97590071841546
TP,broadband_lowfreq_ratio_mean,52,0.30593034844508266,0.16004553181516676,0.23542347336055447
TP,score_mean,52,0.7525817427166999,0.8249730520182954,0.16665026333869937
TP,score_peak,52,0.9162750488592728,0.9978448471616491,0.06431730706708239
TP,dominant_band_fraction_mean,52,0.6047089676323454,0.5739155817359396,0.12570971172636014
TP,duration_s,52,78.34615384615384,70.0,53.0
